,Unnamed: 0,incident_id,title,short_desc,date,location,tags,lat,lng
0,0,incident_13635, Report on facebook ," I'm a 58 year old woman and not used to seeing such happenings, even though I have had my share of being groped, touched inappropriately, felt...  
						  More Information »
« Less Information
",2020-10-22 18:28:00,"Dhaula Kuan, Dhaula Kuan Enclave I, Dhaula Kuan, New Delhi, Delhi 110010, India",Indecent exposure,28.5956381,77.1628404
5,5,incident_13625, cyber bully ," There is a facebook group of people who bully and harass people of group. They invite people by befriending them and they shame them and bully...  
						  More Information »
« Less Information
",2020-06-21 11:45:00,"delhi green park 16 delhi green park 16, Pocket G-27, Sector 3G, Rohini, Delhi, 110085, India",Online Harassment,28.7041097,77.1024889
6,6,incident_13618, Sexual harassment ," a boy with whom I was in relationship with called me at a place and beat me very badly. He had been harassing me for long time. That he slapped...  
						  More Information »
« Less Information
",2020-06-16 15:00:00,"Dwarka, Dwarka, Gujarat 361335, India",Touching /Groping,22.2441975,68.96845619999999
7,7,incident_13620, Domestic Violence ," My husband and my in laws trouble me a lot for money (dowry)  
						  More Information »
« Less Information
",2020-06-10 20:00:00,"Unnamed Road, Civil Line, Tikamgarh, Madhya Pradesh 472001, India",Domestic Violence,24.7536586,78.83025909999999
8,8,incident_13619, Domestic Violence ," My married pregnant cousin died in suspicious circumstances. we doubt it is not suicide but torture and attempt to murder by in laws.  
						  More Information »
« Less Information
",2020-06-10 12:19:00,"ADB PWD Colony, Sector 16A, Faridabad, Haryana 121002, India",Domestic Violence,28.4083059,77.3173656
16,16,incident_13466, Stalking ," I was stalked in this street and cat-called.  
						  More Information »
« Less Information
",2020-05-20 14:00:00,"45, Nagarabhavi Main Rd, Huchappa Layout, Govindaraja Nagar Ward, Shivananda Nagar, Vijayanagar, Bengaluru, Karnataka 560072, India",Stalking,12.9720331,77.52837029999999
47,47,incident_13621, Domestic Violence ," My father and brother repeatedly stopped me from studying. I wanted to study further. I faced continuous harassment from them to leave study...  
						  More Information »
« Less Information
",2020-05-12 20:00:00,"Bihar - Mokama Rd, Laranpur, Bihar 801303, India",Domestic Violence,25.0958605,85.314759
56,56,incident_13616, Domestic Violence ," My husband says bad words to me. doubts on my character. He keeps abusing me. 
He is physically handicapped and nor earning. 
There is no physical...  
						  More Information »
« Less Information
",2020-05-11 15:00:00,"177, Okhla Head Rd, Okhla Village, Okhla, New Delhi, Delhi 110025, India",Domestic Violence,28.5636896,77.29144889999999
99,99,incident_13557, Community Kitchen ," Annapoorna Janakeeya Hotel, St.Mathews Road,Vennala	Free or subsidised food by district administration	9567529849	http://kudumbashree.org/pages/826...  
						  More Information »
« Less Information
",2020-05-08 15:06:00,"Aroor - Thoppumpady Rd, Valummel, Kochi, Kerala 682005, India",North East India Report,9.930146599999999,76.2686397
366,366,incident_13617, Domestic Violence ," My husband and mother in law beat me. they dont even give me and kids some proper drinking water. They broke my maternal things too.  
						  More Information »
« Less Information
",2020-04-27 22:00:00,"225, near Sundar Public School, Pocket C, Sarita Vihar, New Delhi, Delhi 110076, India",Domestic Violence,28.5348825,77.29734049999999
670,670,incident_13615, Domestic Violence ," I am living with my parents in lockdown. They are harassing me. beating me, not allowing me to study.. They want me to get married by their...  
						  More Information »
« Less Information
",2020-04-08 10:38:00,"delhi green park 16 delhi green park 16, Pocket G-27, Sector 3G, Rohini, Delhi, 110085, India",Domestic Violence,28.7041097,77.1024889
1073,1073,incident_12319, Groped near elphinstone road station ," groped in the middle of the road  
						  More Information »
« Less Information
",2020-03-13 15:01:00,"Jhaveri Building, Jagannath Bhatankar Marg, Krishna Nagar, Parel, Mumbai, Maharashtra 400012, India",Touching /Groping,19.0075257,72.8359929
1074,1074,incident_12315, Stalking ," I go to the race course for early morning runs. On multiple occasions I have noticed a man following us while we run. Once he followed us on...  
						  More Information »
« Less Information
",2020-03-04 07:00:00,"Camp, Pune, Maharashtra, India",Stalking,18.5122306,73.88601
1076,1076,incident_13629, Man at the bar ," A man sat down with me and my friend at the table and started commenting about my looks and when asked to be left alone he started touching...  
						  More Information »
« Less Information
",2020-02-28 21:00:00,"Bunsenstraße 15, 34127 Kassel, Deutschland",Commenting,51.3289717,9.5018303
1077,1077,incident_12270, IOI City Mall: restaurant ," The harasser (a guy) groped my boobs and butt for almost a week while we were working as servers. I resigned a week later.  
						  More Information »
« Less Information
",2020-01-15 16:00:00,"Ioi Resort, Putrajaya, Selangor, Malaysia",Touching /Groping,2.968031,101.70751
1078,1078,incident_12311, Eve teasing ," Bus eve teasing  
						  More Information »
« Less Information
",2020-01-10 10:00:00,"26, Electronic City Flyover, BTM Phase 1, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India",Touching /Groping,12.8455571,77.6677642
1079,1079,incident_12256, stalking ," stalking near bandra station  
						  More Information »
« Less Information
",2019-12-24 15:00:00,"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India",Stalking,19.059143,72.845013
1080,1080,incident_12255, stalking ," stalking near bandra station  
						  More Information »
« Less Information
",2019-12-24 15:00:00,"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India",Stalking,19.059143,72.845013
1081,1081,incident_12254, Stalking near raheja college ," Two guys stalked me on my way to college  
						  More Information »
« Less Information
",2019-12-22 23:00:00,"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India",Stalking,19.059143,72.845013
1082,1082,incident_12298, KTM - publicly touched ," An Indian man stand closely to me; from back and tried to grope my butt but luckily i was carrying a backpack  
						  More Information »
« Less Information
",2019-11-25 18:00:00,"Kuala Lumpur Station, Kampung Attap, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Touching /Groping,3.1396129,101.693375
1083,1083,incident_12282, LRT or Mall in sunway/ KL ," I was walking in the mall or on the streets, and a lot men tend to stare unnecessarily. It's not that I even wear provocative clothes, but because...  
						  More Information »
« Less Information
",2019-11-25 16:00:00,"3, Jalan PJS 11/15, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia",Ogling/Facial Expressions/Staring,3.0727104,101.6078861
1084,1084,incident_12265, Catcalling ," Catcalling me even I ignored them  
						  More Information »
« Less Information
",2019-11-11 11:00:00,"Persiaran Kolej, Bandar Seri Putra, 43000 Kajang, Selangor, Malaysia",Catcalls/Whistles,2.8895234,101.7912857
1085,1085,incident_12261, Basement carpark ," I was locked in the car with the guy in a basement carpark. He forced kiss my neck and touched my body  
						  More Information »
« Less Information
",2019-11-08 15:00:00,"Ss 16, Subang Jaya, Selangor, Malaysia",Touching /Groping,3.081753,101.5840681
1086,1086,incident_12268, LRT Universiti: Harrassed ," Some guy touching a woman without consent. Suddenly the woman scream and starts crying.  
						  More Information »
« Less Information
",2019-11-07 11:00:00,"Federal Hwy, 59100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Touching /Groping,3.1147383,101.6684812
1087,1087,incident_12286, Nadayu residence ," They catcalled me.  
						  More Information »
« Less Information
",2019-10-25 21:00:00,"1, Jalan PJS 11/7, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia",Catcalls/Whistles,3.0698011,101.6038513
1088,1088,incident_12266," Harrassed, without consent "," He touch my shoulder while driving and touch my lips without any purpose.  
						  More Information »
« Less Information
",2019-10-18 13:00:00,"Dato' Keramat, Kampung Datuk Keramat, 54000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Touching /Groping,3.165294,101.731971
1089,1089,incident_12303, Sexual invites ," There was this guy who catcalled my friend and invited us to go clubbing with him at the Bukit Bintang MRT station, we ignored him but he proceed...  
						  More Information »
« Less Information
",2019-10-14 19:00:00,"103, Jalan Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Sexual Invites,3.1462725,101.7109333
1090,1090,incident_12240, Creep in a Truck ," I was walking. Dark Charcoal grey truck, license plate AL32**9(?)* with tinted windows slowed down and then turned and went down a short dead...  
						  More Information »
« Less Information
",2019-10-12 11:00:00,"Alexandria Bounty Community Garden, 364 Simcoe St N, Oshawa, ON L1G 4T6, Canada",Others,43.90701,-78.8680388
1091,1091,incident_12277, From bus ride to mall ," A group of 3 guys followed me from my ride in a bus to paradigm mall. One of the guys took a picture of me without my consent and followed me...  
						  More Information »
« Less Information
",2019-10-11 16:00:00,"Paradigm Mall, 1, Jalan SS 7/28, Ss 3, 47301 Petaling Jaya, Selangor, Malaysia",Stalking,3.1051171,101.5959701
1092,1092,incident_12260, Public indecent exposure ," He pulled out his penis and begged for an oral sex. He then desperately offer me money for it.  
						  More Information »
« Less Information
",2019-10-05 17:00:00,"33, Jalan Teknologi, Pju 5 Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",Indecent exposure,3.1473993,101.5749744
1093,1093,incident_13160, Groped in the middle of the road ," Groped in the middle of the road  
						  More Information »
« Less Information
",2019-10-01 20:00:00,"Jhaveri Building, Jagannath Bhatankar Marg, Krishna Nagar, Parel, Mumbai, Maharashtra 400012, India",Touching /Groping,19.0075257,72.8359929
1094,1094,incident_12237, Snatching of mobile ," I was talking by mobile near popular juice in the evening.two man came on scooty and snatched my one plus 7 navy blue mobile.
Police is doing...  
						  More Information »
« Less Information
",2019-09-16 18:00:00,"78, Bada Bazar Rd, Block 54, Rajinder Nagar, New Delhi, Delhi 110060, India",Others,28.640485,77.184609
1095,1095,incident_12236, Snatching of mobile ," I was talking by mobile near popular juice in the evening.two man came on scooty and snatched my one plus 7 navy blue mobile.
Police is doing...  
						  More Information »
« Less Information
",2019-09-16 18:00:00,"78, Bada Bazar Rd, Block 54, Rajinder Nagar, New Delhi, Delhi 110060, India",Others,28.640485,77.184609
1096,1096,incident_12269, Catcalled while crossing road ," Crossing the road one day with my friends and lorry driver honked and catcalled us  
						  More Information »
« Less Information
",2019-09-12 16:00:00,"9, Jalan Maxwell, Pusat Bandar Rawang, 48000 Rawang, Selangor, Malaysia",Catcalls/Whistles,3.320552,101.575999
1097,1097,incident_12280, Someone catcalled a girl ," A girl walk passed and someone started cat calling.  
						  More Information »
« Less Information
",2019-09-12 12:00:00,"Jalan Anjung U8/34, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia",Catcalls/Whistles,3.1076298,101.52873
1098,1098,incident_12275, LRT USJ 7 ," i was going down the stairs and a man skipped past me, pretending to be on the phone on one hand while taking the advantage to touch my butt...  
						  More Information »
« Less Information
",2019-09-10 11:00:00,"Persiaran Kewajipan, Usj 6, 47600 Subang Jaya, Selangor, Malaysia",Touching /Groping,3.0555553,101.5918573
1099,1099,incident_12239, Commenting ," I usually walk through this lane around 9 am in the morning as I go to work. It is like a village road. As I was walking through I noticed a...  
						  More Information »
« Less Information
",2019-09-06 09:00:00,"Bahirat Patil Complex, Shivajinagar, 1090B, Hare Krishna Mandir Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",Commenting,18.5326292,73.836587
1100,1100,incident_12238, Commenting ," At around 9 am in the morning, I was walking through the lane. It is like a little village road even though in the city. A group of boys standing...  
						  More Information »
« Less Information
",2019-09-06 09:00:00,"Bahirat Patil Complex, Shivajinagar, 1090B, Hare Krishna Mandir Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",Commenting,18.5326292,73.836587
1101,1101,incident_12235, SEX ADDICT ," He is an insatiable sex Addict who manipulated and seduces or sexually assaults HUNDREDS of naive women and men that he meets online and at...  
						  More Information »
« Less Information
",2019-09-01 18:30:00,"21038 Kirkland Woods Dr, Houston, TX 77095, USA",Ogling/Facial Expressions/Staring,29.9250284,-95.63550599999999
1102,1102,incident_12291, LRT Puchong Line ," I was in the lrt and a man duduk beside me and like turned his body slightly facing me and just pandang i. so I looked back at him, buat eye...  
						  More Information »
« Less Information
",2019-08-17 15:00:00,"Pusat Bandar Puchong, Pusat Bandar Puchong, 47100 Puchong, Selangor, Malaysia",Ogling/Facial Expressions/Staring,3.034935,101.6160451
1103,1103,incident_12287, Catcalled while passing by ," I was walking to my car and 2 guys driving past winded down their window & whistled at me and said I love you. I ignored them and walked off.  
						  More Information »
« Less Information
",2019-08-14 21:00:00,"18, Jalan SS 15/4, Ss 15, 47500 Subang Jaya, Selangor, Malaysia",Catcalls/Whistles,3.0752729,101.5869793
1104,1104,incident_12273, Filming / taking pics ," at first he was playing his phone (games). but then he started to look at me. at the time he start to recorded me, i know because the way he...  
						  More Information »
« Less Information
",2019-08-12 14:00:00,"197, Jalan 8/1, Seksyen 8, 43650 Bandar Baru Bangi, Selangor, Malaysia",Taking pictures,2.9627508,101.7580416
1105,1105,incident_12290, Near parking area ," was waiting to cross the road at the traffic light. The man was in a lorry & he stopped and started commenting about my outfit.  
						  More Information »
« Less Information
",2019-08-11 13:00:00,"Ss 13, 47500 Subang Jaya, Selangor, Malaysia",Commenting,3.067409,101.5936762
1106,1106,incident_12301, UITM: catcalled ," I was walking home from a camp and someone from the college i was walking pass started making weird comments  
						  More Information »
« Less Information
",2019-08-10 10:00:00,"40450 Shah Alam, Selangor, Malaysia",Catcalls/Whistles,3.0670633,101.5016761
1107,1107,incident_12295," Shop lots, mechanics "," the mechanics working at the car shops often catcall my friends and i whenever we walk pass by and most of the times they stare for a while...  
						  More Information »
« Less Information
",2019-08-03 16:00:00,"25, Jalan PJS 11/24, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia",Catcalls/Whistles,3.067022,101.601409
1108,1108,incident_13161, Sexual harassment by orthodontist ," I reported it to my parents and they had to get my dentist changed  
						  More Information »
« Less Information
",2019-08-02 11:00:00,"24, Ramakanta Mistri Ln, Cossipore, Newland, College Square, Kolkata, West Bengal 700073, India",Commenting,22.572646,88.36389500000001
1109,1109,incident_12230, Verbal harassment ," Non-transit-user asking personal/contact information (name, in school, where/what studying, etc), only ceased when learned I had a [pretend]...  
						  More Information »
« Less Information
",2019-07-31 17:00:00,"5501 S Ashland Ave, Chicago, IL 60636, USA",Ogling/Facial Expressions/Staring,41.7934668,-87.66416439999999
1110,1110,incident_12241, Flashing on the skywalk ," I was walking on the skywalk of the Grant Road Railway Station when a man unzipped his pants, popped out his penis and dangled it in front of...  
						  More Information »
« Less Information
",2019-07-10 20:30:00,"Frere Bridge, Grant Road West, Zoroastrian Colony, Grant Road, Mumbai, Maharashtra 400007",Indecent exposure,18.9619672,72.8156346
1111,1111,incident_12293, Catcalled ," walked pass a group of guys, catcalls and called us to go back, constant whistles. We sprinted across after  
						  More Information »
« Less Information
",2019-07-10 14:00:00,"Stesen Sentral Kuala Lumpur, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Catcalls/Whistles,3.1343385,101.6863371
1112,1112,incident_12267, LRT Setiawangsa ," The coloured guy straight up held his phone in front of my face and took some pictures. After he has done that he stared at me for a long time....  
						  More Information »
« Less Information
",2019-07-10 10:00:00,"Jalan Jelatek, 54200 Kuala Lumpur, Selangor, Malaysia",Taking pictures,3.16937,101.735
1113,1113,incident_12296, Sunway Pyramid ," Too many times to count honestly. One time a person came up to me and was standing too close for comfort and I went by him and he started following...  
						  More Information »
« Less Information
",2019-07-05 19:00:00,"3, Jalan PJS 11/15, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia",Stalking,3.0727104,101.6078861
1114,1114,incident_12259, Indecent Exposure ," Man with no pants.  
						  More Information »
« Less Information
",2019-07-02 15:00:00,"42 7th Ave, Brooklyn, NY 11217, USA",Indecent exposure,40.676713,-73.97428599999999
1115,1115,incident_12279, Catcalled while walking ," I was walking to work when I heard a man cat-called from a building nearby. Another man also whistled and greeted me under his breath within...  
						  More Information »
« Less Information
",2019-07-02 13:00:00,"8, Jalan SS 13/6, Subang Jaya Industrial Estate, 47500 Subang Jaya, Selangor, Malaysia",Catcalls/Whistles,3.0671667,101.6002559
1116,1116,incident_13162, Groped ," Groped on a bus  
						  More Information »
« Less Information
",2019-06-14 16:00:00,"Unnamed Road, Mayapuri Industrial Area Phase II, Mayapuri, New Delhi, Delhi 110064, India",Ogling/Facial Expressions/Staring,28.6120806,77.1125325
1117,1117,incident_12278, In the car ," My colleague pernah raba i waktu dalam kereta masa kami otw utk buat kerja malam malam. But he doesnt feel bad about it and even ask for a kiss...  
						  More Information »
« Less Information
",2019-06-12 23:00:00,"36, K8, Bandar Alor Setar, 05460 Alor Setar, Kedah, Malaysia",Touching /Groping,6.1163624,100.3675687
1118,1118,incident_12264, Walking back home ," Was on the way back home and i saw a bunch of middle aged men sitting around a table , i took out my phone just so i looked busy in case and...  
						  More Information »
« Less Information
",2019-06-10 11:00:00,"19, Jalan Khatib Koyan, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Catcalls/Whistles,3.1592567,101.7029164
1119,1119,incident_12283, Catcalled when walking ," While walking, with friends,  always get catcalls  
						  More Information »
« Less Information
",2019-06-02 18:00:00,"Jalan Raya Barat, Kawasan 1, 41100 Klang, Selangor, Malaysia",Catcalls/Whistles,3.0459574,101.4438669
1120,1120,incident_12306, Indirectly harassed ," Not touching by hand but he touch by pen at my back parts  
						  More Information »
« Less Information
",2019-06-02 12:00:00,"3, Jalan Aluminium 7/27, Seksyen 7, 40000 Shah Alam, Selangor, Malaysia",Touching /Groping,3.074386,101.4935174
1121,1121,incident_12152, touching ," My school auto driver always use to stare at me or try to talk to me whenever I alone in auto. He also tries to touch me. I complained it to...  
						  More Information »
« Less Information
",2019-05-27 15:00:00,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India",Touching /Groping,25.625227,85.0532212
1122,1122,incident_12149, whistling ," I was in market with my mom. There I saw a man was sitting beside a shop and he was continuously staring a girl. After sometime he started whistling...  
						  More Information »
« Less Information
",2019-05-17 19:00:00,"Near Nissan Showroom, Bailey Rd, Patna, Bihar 801503, India",Catcalls/Whistles,25.620211,85.044895
1123,1123,incident_12213, sexual invite ," there is a girl whom boys have been writing a letter to her and putting in her bag  
						  More Information »
« Less Information
",2019-05-15 15:03:00,"Makina, Nairobi, Kenya",Sexual Invites,-1.3084665,36.783297
1124,1124,incident_12281, LRT Klcc ," While I was standing in the lrt station, I felt someone grabbed my back firmly. My girlfriend told me that it was a guy.  
						  More Information »
« Less Information
",2019-05-14 17:00:00,"Wisma Central, 147, Jalan Ampang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Touching /Groping,3.1587907,101.71448
1125,1125,incident_12199, sexual invite ," there is  a girl who is being disturbed y a boy in the school  
						  More Information »
« Less Information
",2019-05-14 14:13:00,"Makina, Nairobi, Kenya",Sexual Invites,-1.3084665,36.783297
1126,1126,incident_12206, sexual invite ," there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him  
						  More Information »
« Less Information
",2019-05-13 14:45:00,"Makina, Nairobi, Kenya",Sexual Invites,-1.3084665,36.783297
1127,1127,incident_12205, sexual invite ," there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him  
						  More Information »
« Less Information
",2019-05-13 14:45:00,"Makina, Nairobi, Kenya",Sexual Invites,-1.3084665,36.783297
1128,1128,incident_12204, sexual invite ," there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him  
						  More Information »
« Less Information
",2019-05-13 14:45:00,"Makina, Nairobi, Kenya",Sexual Invites,-1.3084665,36.783297
1129,1129,incident_12203, sexual invite ," there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him  
						  More Information »
« Less Information
",2019-05-13 14:45:00,"Makina, Nairobi, Kenya",Sexual Invites,-1.3084665,36.783297
1130,1130,incident_12202, sexual invite ," there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him  
						  More Information »
« Less Information
",2019-05-13 14:45:00,"Makina, Nairobi, Kenya",Sexual Invites,-1.3084665,36.783297
1131,1131,incident_12200, touchings ," there is a teacher who likes touching a girl on the breast  
						  More Information »
« Less Information
",2019-05-13 14:21:00,"Makina, Nairobi, Kenya",Sexual Invites,-1.3084665,36.783297
1132,1132,incident_12228, stalking ," guy just started following me  
						  More Information »
« Less Information
",2019-05-13 14:00:00,"Griekwastad, South Africa",Stalking,-28.8564868,23.2513554
1133,1133,incident_12164, sexual invite ," A girl is asking if a boy comes to your house so that they can do assignment together  
						  More Information »
« Less Information
",2019-05-13 11:23:00,"Laini Saba, Nairobi, Kenya",Sexual Invites,-1.3121712,36.7940684
1134,1134,incident_12163, sexual invite ," A girl is asking if a boy comes to your house so that they can do assignment together  
						  More Information »
« Less Information
",2019-05-13 11:23:00,"Laini Saba, Nairobi, Kenya",Sexual Invites,-1.3121712,36.7940684
1135,1135,incident_12160, sexual invite ," There is a girl who is being forced by a boy to love him but she is against it,he even threatens to kill her if she don,t do so  
						  More Information »
« Less Information
",2019-05-13 10:58:00,"Laini Saba, Nairobi, Kenya",Sexual Invites,-1.3121712,36.7940684
1136,1136,incident_12227, Catcalling ," Was walking by the town library  
						  More Information »
« Less Information
",2019-05-13 07:00:00,"281 Church St, Pietermaritzburg, 3201, South Africa",Catcalls/Whistles,-29.60073,30.37951
1137,1137,incident_12226, Catcalling ," Was walking by the town library  
						  More Information »
« Less Information
",2019-05-13 07:00:00,"281 Church St, Pietermaritzburg, 3201, South Africa",Catcalls/Whistles,-29.60073,30.37951
1138,1138,incident_12169, sexual invite ," there is a girl who is in love with boy but the boy does not know  
						  More Information »
« Less Information
",2019-05-10 11:52:00,"Laini Saba, Nairobi, Kenya",Sexual Invites,-1.3121712,36.7940684
1139,1139,incident_12157, purse snatching ," A group of boys came on their bike and snatched one lady's purse and ran away  
						  More Information »
« Less Information
",2019-05-07 18:29:00,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India",Chain Snatching / Robbery,25.625227,85.0532212
1140,1140,incident_12153, chain snatching ," My mother and aunt was going to market, while returning from there. Two man came on bike and snatched my mother's chain  
						  More Information »
« Less Information
",2019-05-07 17:00:00,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India",Chain Snatching / Robbery,25.625227,85.0532212
1141,1141,incident_12119, question ," if a boy tells you to prove to him if you love him and asks you to kiss him what should you do?  
						  More Information »
« Less Information
",2019-05-07 11:52:00,"kibera, Nairobi, Kenya",Others,-1.3114845,36.7879475
1142,1142,incident_12289, Shop lots in sunway ," walking around the shopping lots with some girlfriends when a group of men catcalled us  
						  More Information »
« Less Information
",2019-05-06 16:00:00,"34, Jalan PJS 11/22, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia",Catcalls/Whistles,3.0675975,101.6006108
1143,1143,incident_12155, following while coming from school ," A boy was following me while I was coming back from school.  
						  More Information »
« Less Information
",2019-05-01 13:00:00,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India",Stalking,25.625227,85.0532212
1144,1144,incident_12158, touching ," My sister and I was going to eat golgappa and a boy was commenting and intentionally bumping into my cousin.  
						  More Information »
« Less Information
",2019-04-17 17:00:00,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India",Stalking,25.625227,85.0532212
1145,1145,incident_12210, sexual invite ," a girl was sent    to shop and met a man on her way who wanted to rape her and screamed for help as she was running  
						  More Information »
« Less Information
",2019-04-17 14:53:00,"Makina, Nairobi, Kenya",Sexual Invites,-1.3084665,36.783297
1146,1146,incident_12106, groping ," this happened long ago but cannot forget it. The fellow was behind me when he kept touching my butt and around. month day time are approximate  
						  More Information »
« Less Information
",2019-04-13 16:15:00,"15-61, Ranganathan St, Postal Colony, T Nagar, Chennai, Tamil Nadu 600017, India",Touching /Groping,13.0369076,80.23015769999999
1147,1147,incident_12299, Maybank ," The bank was near my hotel. Me and my friend wanted to draw our money before heading back to hotel after dinner. Everything was fine except...  
						  More Information »
« Less Information
",2019-04-10 14:00:00,"Padang Besar MPK, Jalan Bukit Ubi, Kompleks Pentadbiran Kerajaan Negeri Pahang, 25200 Kuantan, Pahang, Malaysia",Stalking,3.80572,103.326094
1148,1148,incident_12116, Sexual Harassment ," A man threatened a girl that he will end her life if she does not accept to be his woman  
						  More Information »
« Less Information
",2019-04-10 12:00:00,"Kibera slum, Nairobi, Kenya",Sexual Invites,-1.3122173,36.7913757
1149,1149,incident_12105, Sexual harassment ," A girl was walking home and a man tried to hold her by force  
						  More Information »
« Less Information
",2019-04-09 18:00:00,"Kibera slums, Nairobi, Kenya",Sexual Invites,-1.3122173,36.7913757
1150,1150,incident_12148, facial expressions ," One day I was playing in garden of my house. My friend called me she used to live on the next side of the road. A boy started making faces at...  
						  More Information »
« Less Information
",2019-04-09 17:04:00,"danapur gola road, Bihar 801503, India",Ogling/Facial Expressions/Staring,25.625512,85.05580850000001
1151,1151,incident_12107, Inappropriate comments when inerviewed ," During the course of the interview the MD asked me Inappropriate questions like "" what would you do if some man touches you when you are walking...  
						  More Information »
« Less Information
",2019-04-09 17:00:00,"308,DLF South Court, Saket",Commenting,28.5279261,77.2205915
1152,1152,incident_12111, Sexual Harassment ," Young men commenting on a girl with a short skirts; sexy, hot  
						  More Information »
« Less Information
",2019-04-03 15:17:00,"Kibera slum, Nairobi, Kenya",Catcalls/Whistles,-1.3122173,36.7913757
1153,1153,incident_12154, touching ," A Man was touching my hand when I was travelling in public auto. When I asked why are doing this he clearly refused and pretended to be innocent.  
						  More Information »
« Less Information
",2019-04-03 14:00:00,"Gola Rd, Bank Colony, Chanakya Puri, Danapur Nizamat, Danapur, Bihar 801503, India",Touching /Groping,25.6245431,85.0556125
1154,1154,incident_12150, touching ," One day I saw a man was, snatching one lady's dupatta. And no one was helping her  
						  More Information »
« Less Information
",2019-03-23 16:00:00,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India",Touching /Groping,25.625227,85.0532212
1155,1155,incident_12181, sexual invite ," there is a boy ho loves a girl and the girl does not love him and she is asking what should she do?  
						  More Information »
« Less Information
",2019-03-21 12:56:00,"Makina, Nairobi, Kenya",Sexual Invites,-1.3084665,36.783297
1156,1156,incident_12218, touchings ," There is a girl who is who is being disturbed by a boy who and he even wants to touch her private parts, she is only twelve years and he even...  
						  More Information »
« Less Information
",2019-03-20 15:24:00,"Makina, Nairobi, Kenya",Sexual Invites,-1.3084665,36.783297
1157,1157,incident_12190, sexual invite ," there is  a boy who disturbs a certain girl in school and even follows him when she goes to the toilet,she is afraid of telling her parents...  
						  More Information »
« Less Information
",2019-03-14 17:00:00,"Makina, Nairobi, Kenya",Sexual Invites,-1.3084665,36.783297
1158,1158,incident_12118, sexual invite ," girls are complaining that they are being caned on the buttocks and it is against Kenyan law  
						  More Information »
« Less Information
",2019-03-13 14:00:00,"Olympic Estate, Nairobi, Kenya",Sexual Invites,-1.3124017,36.780604
1159,1159,incident_12117, sexual invite ," girls are complaining that they are being caned on the buttocks and it is against Kenyan law  
						  More Information »
« Less Information
",2019-03-13 14:00:00,"Olympic Estate, Nairobi, Kenya",Sexual Invites,-1.3124017,36.780604
1160,1160,incident_12305, Touched in public bus ," Butt was groped when going out of the bus  
						  More Information »
« Less Information
",2019-03-10 17:00:00,"40, Jalan Medan Setia, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Touching /Groping,3.1488086,101.653061
1161,1161,incident_12271, Flashed in public ," He was in a car, when I was just walking beside the road, he stopped 2m infront of me, waited until I walked beside his car, he rolled down...  
						  More Information »
« Less Information
",2019-03-07 13:00:00,"Cheras, 56000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Indecent exposure,3.1068447,101.7259197
1162,1162,incident_12166, sexual invite ," a boy in class seven is calling a girl his sweet baby  
						  More Information »
« Less Information
",2019-03-06 11:38:00,"Olympic Estate, Nairobi, Kenya",Catcalls/Whistles,-1.3124017,36.780604
